"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","한실수","양실수","욕실수","발한실여부","좌석수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","세탁기수","여성종사자수","남성종사자수","회수건조수","침대수","다중이용업소여부"
"3040000","3040000-201-1964-00001","19640403","","01","영업/정상","01","영업","","","","","02 4530121","35,314.55","143800","서울특별시 광진구 광장동 22-1번지 ","서울특별시 광진구 워커힐로 177 (광장동)","04963","워커힐","2017-04-19 17:14:17","I","2018-08-31 23:59:59.0","관광호텔","209775.267831522    ","450327.57709331     ","관광호텔","0","0","0","0","0","0","6","924","0","Y","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1968-00001","19680801","","03","폐업","02","폐업","20171227","","","","02 4648905","52.82","143915","서울특별시 광진구 화양동 115-8번지 ","서울특별시 광진구 능동로19길 44 (화양동)","05009","대원장여관","2017-12-27 11:05:48","I","2018-08-31 23:59:59.0","여관업","206230.137612806    ","449477.471659316    ","여관업","0","0","0","0","0","0","2","8","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1968-00002","19681108","","03","폐업","02","폐업","20061020","","","","02 4635280","180.16","143915","서울특별시 광진구 화양동 111-129번지 ","","","뉴서울장여관","2002-02-04 00:00:00","I","2018-08-31 23:59:59.0","여관업","206409.22550824     ","449399.18185658     ","여관업","0","0","0","","0","","10","0","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1969-00001","19690709","","03","폐업","02","폐업","20210118","","","","02  457 0778","194.94","143961","서울특별시 광진구 구의동 228-7 ","서울특별시 광진구 구의로16길 9 (구의동)","05033","올인","2021-01-18 09:31:58","U","2021-01-20 02:40:00.0","여관업","207976.829405633    ","449075.181117362    ","여관업","0","0","0","0","0","0","0","16","0","Y","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1969-00002","19690625","","03","폐업","02","폐업","20191119","","","","02 4656604","68.00","143846","서울특별시 광진구 자양동 236-64번지 ","서울특별시 광진구 뚝섬로 475-6 (자양동)","05080","동궁여관","2019-11-19 14:50:41","U","2019-11-21 02:40:00.0","여관업","205519.120649001    ","448299.291012925    ","여관업","0","0","0","0","0","0","3","8","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1969-00003","19691206","","03","폐업","02","폐업","20180528","","","","02 4613040","131.90","143902","서울특별시 광진구 중곡동 212-13번지 ","서울특별시 광진구 답십리로82길 38 (중곡동)","04902","대림여관","2018-05-28 09:12:47","I","2018-08-31 23:59:59.0","여관업","207208.850172699    ","451942.725870556    ","여관업","0","0","0","0","0","0","4","10","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1969-00004","19691021","","03","폐업","02","폐업","20120217","","","","02 4977279","108.28","143916","서울특별시 광진구 화양동 17-55번지 ","","","수도장여관","2010-05-17 11:16:41","I","2018-08-31 23:59:59.0","여관업","206084.819278987    ","449348.522634712    ","여관업","0","0","0","0","0","0","5","12","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1970-00007","19700702","","03","폐업","02","폐업","20080905","","","","02 4699707","50.00","143902","서울특별시 광진구 중곡동 196-11번지 ","","","도원여관","2003-08-01 00:00:00","I","2018-08-31 23:59:59.0","여관업","207343.773689462    ","451935.251493803    ","여관업","","","","","","","3","8","","Y","","","","","","","","","","","N"
"3040000","3040000-201-1970-00008","19700825","","01","영업/정상","01","영업","","","","","02 4631981","64.74","143916","서울특별시 광진구 화양동 23-39번지 ","서울특별시 광진구 동일로 168 (화양동)","05007","큐(Q)","2018-11-30 16:01:14","U","2018-12-04 02:40:00.0","여관업","205850.752898178    ","449421.557205139    ","여관업","0","0","0","0","0","0","3","14","0","Y","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1970-00009","19700810","","01","영업/정상","01","영업","","","","","02 4632043","89.00","143917","서울특별시 광진구 화양동 41-3번지 ","서울특별시 광진구 동일로 148 (화양동)","05014","그랜드모텔","2018-12-18 11:14:18","U","2018-12-20 02:40:00.0","여관업","205776.113127654    ","449246.304001248    ","여관업","0","0","0","0","0","0","0","14","0","Y","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1970-00010","19700711","","03","폐업","02","폐업","20080414","","","","02 4639024","76.32","143916","서울특별시 광진구 화양동 17-15번지 ","","","신진장여관","2008-03-27 13:18:44","I","2018-08-31 23:59:59.0","여관업","206105.618676172    ","449434.168347332    ","여관업","0","0","0","","0","","4","4","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1970-00011","19700818","","03","폐업","02","폐업","20150421","","","","02 4469947","110.48","143852","서울특별시 광진구 자양동 219-11번지 ","서울특별시 광진구 아차산로46가길 15 (자양동)","05055","금수여관","2015-02-09 15:56:41","I","2018-08-31 23:59:59.0","여관업","207166.289513299    ","448243.971533181    ","여관업","","","","","","","4","10","","N","","","","","","","","","","","N"
"3040000","3040000-201-1970-00012","19701220","","03","폐업","02","폐업","20151013","","","","02 4574959","100.00","143821","서울특별시 광진구 구의동 202-12번지 ","서울특별시 광진구 구의로16길 45 (구의동)","05033","세화장","2013-12-24 09:55:52","I","2018-08-31 23:59:59.0","여관업","208143.339194157    ","448992.82262005     ","여관업","0","0","0","","0","","0","18","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1971-00008","19711123","","01","영업/정상","01","영업","","","","","02  34360778","126.01","143819","서울특별시 광진구 구의동 67-21번지 ","서울특별시 광진구 광나루로 517-5 (구의동)","04976","황금모텔","2019-02-25 09:54:04","U","2019-02-27 02:40:00.0","여관업","207616.439261264    ","449241.028369767    ","여관업","0","0","0","0","0","0","0","15","0","Y","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1971-00009","19711111","","01","영업/정상","01","영업","","","","","02  497 7714","291.56","143914","서울특별시 광진구 화양동 12-20번지 ","서울특별시 광진구 아차산로33길 67-4 (화양동)","05011","신한모텔","2019-02-20 11:12:09","U","2019-02-22 02:40:00.0","여관업","206217.242616575    ","449008.155441597    ","여관업","0","0","0","0","0","0","4","6","0","Y","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1971-00010","19710619","","01","영업/정상","01","영업","","","","","02 4632459","83.08","143915","서울특별시 광진구 화양동 132-7 ","서울특별시 광진구 능동로19길 53 (화양동)","05009","은하장여관","2021-01-07 11:06:03","U","2021-01-09 02:40:00.0","여관업","206179.144514521    ","449459.028334444    ","여관업","0","0","0","0","0","0","0","7","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1971-00011","19711028","","01","영업/정상","01","영업","","","","","02 4646044","101.73","143915","서울특별시 광진구 화양동 132-64번지 ","서울특별시 광진구 능동로17길 55 (화양동)","05010","호림장여관","2019-02-20 11:12:45","U","2019-02-22 02:40:00.0","여관업","206151.025099262    ","449389.395434969    ","여관업","0","0","0","0","0","0","5","8","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1971-00012","19710412","","03","폐업","02","폐업","20060529","","","","02 4665844","46.99","143840","서울특별시 광진구 군자동 361-10번지 ","","","월성장여관","2002-02-06 00:00:00","I","2018-08-31 23:59:59.0","여관업","","","여관업","0","0","0","","0","","0","7","0","Y","0","","","","","","","","","","N"
"3040000","3040000-201-1971-00013","19710930","","03","폐업","02","폐업","20140626","","","","02 4661308","54.39","143840","서울특별시 광진구 군자동 346-34번지 ","서울특별시 광진구 군자로11길 3 (군자동)","05002","대성여관","2006-06-09 00:00:00","I","2018-08-31 23:59:59.0","여관업","206184.745945791    ","449821.075972402    ","여관업","","","","","","","1","8","","N","","","","","","","","","","","N"
"3040000","3040000-201-1971-00014","19710728","","03","폐업","02","폐업","20200708","","","","02 4644903","68.91","143846","서울특별시 광진구 자양동 202-9 ","서울특별시 광진구 동일로4길 2 (자양동)","05081","영화여관","2020-07-08 11:28:47","U","2020-07-10 02:40:00.0","여관업","205329.672408805    ","448223.589777113    ","여관업","0","0","0","0","0","0","1","8","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1971-00015","19711209","","01","영업/정상","01","영업","","","","","02 4621828","161.66","143903","서울특별시 광진구 중곡동 239-6번지 ","서울특별시 광진구 긴고랑로7길 7 (중곡동)","04912","부림장여관","2018-11-30 16:16:41","U","2018-12-04 02:40:00.0","여관업","206919.434237423    ","451288.62120607     ","여관업","0","0","0","0","0","0","0","9","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1972-00010","19720108","","03","폐업","02","폐업","20060518","","","","0222018484","51.36","143918","서울특별시 광진구 구의동 244-21번지 ","","","미림모텔","2003-03-22 00:00:00","I","2018-08-31 23:59:59.0","여인숙업","207852.583763932    ","448462.944797315    ","여인숙업","","","","","","","10","2","","N","","","","","","","","","","","N"
"3040000","3040000-201-1972-00011","19720529","","03","폐업","02","폐업","20160610","","","","02 4643363","117.31","143916","서울특별시 광진구 화양동 23-19번지 ","서울특별시 광진구 동일로 170-3 (화양동)","","제논모텔","2008-08-20 13:18:14","I","2018-08-31 23:59:59.0","여관업","205876.67679        ","449450.564265       ","여관업","0","0","0","","0","","4","10","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1972-00012","19720915","","01","영업/정상","01","영업","","","","","02 4543428","110.08","143890","서울특별시 광진구 중곡동 125-7번지 2,3층 ","서울특별시 광진구 용마산로7길 6 (중곡동,2,3층)","04922","중곡여관","2018-11-30 16:20:37","U","2018-12-04 02:40:00.0","여관업","207645.772261667    ","450760.601452669    ","여관업","0","0","0","0","0","0","3","8","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1972-00013","19721021","","03","폐업","02","폐업","20140605","","","","02 4630762","244.12","143912","서울특별시 광진구 중곡동 648-14번지 ","서울특별시 광진구 능동로37길 6 (중곡동)","04919","라보장여관","2013-01-30 13:27:11","I","2018-08-31 23:59:59.0","여관업","206961.612379341    ","450659.222622896    ","여관업","","","","","","","2","8","","N","","","","","","","","","","","N"
"3040000","3040000-201-1972-00014","19720111","","03","폐업","02","폐업","20141001","","","","","70.00","143819","서울특별시 광진구 구의동 66-56번지 ","서울특별시 광진구 광나루로39길 6-8 (구의동)","","양지여인숙","2010-01-11 16:50:43","I","2018-08-31 23:59:59.0","여인숙업","207832.827392372    ","449213.548262043    ","여인숙업","","","","","","","13","","","N","","","","","","","","","","","N"
"3040000","3040000-201-1972-00015","19721004","","03","폐업","02","폐업","20161021","","","","02 4442133","57.94","143959","서울특별시 광진구 구의동 224-62번지 ","서울특별시 광진구 아차산로65길 91 (구의동)","05036","충남여인숙","2012-07-30 13:20:46","I","2018-08-31 23:59:59.0","여인숙업","207922.258448794    ","448941.28050133     ","여인숙업","","","","","","","10","","","N","","","","","","","","","","","N"
"3040000","3040000-201-1972-00016","19720105","","03","폐업","02","폐업","19960209","","","","020000 000",".00","143820","서울특별시 광진구 구의동 123-10번지 ","","","신선여관","2002-08-02 00:00:00","I","2018-08-31 23:59:59.0","여관업","207914.409931135    ","449250.0181398      ","여관업","0","0","0","","0","","0","0","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1973-00002","19730409","","03","폐업","02","폐업","20200121","","","","0204535131","3,790.50","143803","서울특별시 광진구 광장동 188-2번지 ","서울특별시 광진구 아차산로78길 147 (광장동)","04969","한강호텔","2020-02-10 18:39:39","U","2020-02-12 02:40:00.0","관광호텔","209602.113978282    ","449468.709626347    ","관광호텔","0","0","0","0","0","0","32","84","0","Y","168","","","","","0","","","0","0","N"
"3040000","3040000-201-1973-00006","19730108","","03","폐업","02","폐업","20040720","","","","02 4689367","48.13","143900","서울특별시 광진구 중곡동 169-31번지 ","","","우리여관","2002-01-30 00:00:00","I","2018-08-31 23:59:59.0","여관업","207243.764500411    ","451784.351747486    ","여관업","0","0","0","","0","","4","4","0","Y","0","","","","","","","","","","N"
"3040000","3040000-201-1973-00012","19730625","","03","폐업","02","폐업","20140109","","","","02 4671405","97.53","143916","서울특별시 광진구 화양동 18-23번지 ","서울특별시 광진구 동일로30길 45 (화양동)","","럭키원룸텔","2014-01-09 15:47:33","I","2018-08-31 23:59:59.0","여관업","206096.153140085    ","449483.578510445    ","여관업","0","0","0","","0","","0","11","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1973-00013","19730201","","03","폐업","02","폐업","20210423","","","","02 4524783","96.41","143809","서울특별시 광진구 광장동 334-12 ","서울특별시 광진구 광장로 89 (광장동)","04967","광장모텔","2021-04-23 10:18:32","U","2021-04-25 02:40:00.0","여관업","209375.068351656    ","449558.030455124    ","여관업","0","0","0","0","0","0","0","9","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1973-00016","19731116","","03","폐업","02","폐업","20061215","","","","02 4611245","46.74","143901","서울특별시 광진구 중곡동 192-25번지 ","","","동창여인숙","2006-10-24 00:00:00","I","2018-08-31 23:59:59.0","여인숙업","207072.103908258    ","451463.631630118    ","여인숙업","0","0","0","","0","","11","0","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1973-00017","19730910","","03","폐업","02","폐업","20200309","","","","02 4633067","134.45","143916","서울특별시 광진구 화양동 20-2번지 ","서울특별시 광진구 동일로30길 16 (화양동)","05007","몰디브","2020-03-09 17:47:57","U","2020-03-11 02:40:00.0","여관업","205952.636613911    ","449477.914464833    ","여관업","0","0","1","2","0","0","0","8","0","Y","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1973-00018","19731201","","01","영업/정상","01","영업","","","","","02 4672858","65.76","143917","서울특별시 광진구 화양동 49-5번지 ","서울특별시 광진구 동일로22길 28 (화양동)","05020","초원모텔","2018-11-30 16:05:02","U","2018-12-04 02:40:00.0","여관업","205747.652768191    ","448872.271285572    ","여관업","0","0","0","0","0","0","0","12","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1973-00019","19730831","","01","영업/정상","01","영업","","","","","02 4646273","130.01","143841","서울특별시 광진구 자양동 10-6번지 ","서울특별시 광진구 아차산로26길 39 (자양동)","05072","시마모텔","2019-03-22 11:11:36","U","2019-03-24 02:40:00.0","여관업","205725.117770632    ","448588.18053061     ","여관업","0","0","0","0","0","0","0","31","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1973-00020","19731029","","03","폐업","02","폐업","20081111","","","","02 4664771","86.61","143903","서울특별시 광진구 중곡동 230-3번지 ","","","천일여관","2008-08-22 11:39:05","I","2018-08-31 23:59:59.0","여관업","207108.88364276     ","451388.5589897      ","여관업","0","0","0","","0","","3","10","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1973-00021","19730425","","01","영업/정상","01","영업","","","","","02 4661175","91.80","143903","서울특별시 광진구 중곡동 240-2번지 ","서울특별시 광진구 면목로 109-1 (중곡동)","04911","동서여관","2019-12-10 13:17:14","U","2019-12-12 02:40:00.0","여관업","206975.515697662    ","451256.913989812    ","여관업","0","0","0","0","0","0","0","12","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1973-00022","19731128","","01","영업/정상","01","영업","","","","","02 4449137","104.59","143890","서울특별시 광진구 중곡동 116-2","서울특별시 광진구 용마산로1길 11 (중곡동)","04931","영빈여관","2022-10-20 14:48:55","U","2021-10-30 22:02:00.0","여관업","207674.703483018","450278.085518096","","","","","","","","","","","","","","","","","","","","","",""
"3040000","3040000-201-1973-00023","19730910","","03","폐업","02","폐업","20140207","","","","02 4666819","60.82","143900","서울특별시 광진구 중곡동 172-17번지 ","서울특별시 광진구 능동로51길 44-7 (중곡동)","04908","동명여인숙","2008-08-22 11:35:28","I","2018-08-31 23:59:59.0","여인숙업","207177.046415807    ","451622.65959935     ","여인숙업","0","0","0","","0","","11","0","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1973-00024","19730928","","03","폐업","02","폐업","20060417","","","","02 4668465","54.05","143904","서울특별시 광진구 중곡동 242-6번지 ","","","대성여인숙","2003-07-07 00:00:00","I","2018-08-31 23:59:59.0","여인숙업","207101.530625332    ","451139.361123744    ","여인숙업","","","","","","","10","","","N","","","","","","","","","","","N"
"3040000","3040000-201-1973-00025","19730122","","03","폐업","02","폐업","20030421","","","","024639 282",".00","143916","서울특별시 광진구 화양동 23-18번지 ","","","신라장여관","2003-04-21 00:00:00","I","2018-08-31 23:59:59.0","여관업","205866.109696       ","449455.294697       ","여관업","","","","","","","","","","Y","","","","","","","","","","","N"
"3040000","3040000-201-1974-00001","19740907","","03","폐업","02","폐업","20040730","","","","02 4678963","109.71","143838","서울특별시 광진구 군자동 477-13번지 ","","","그린장여관","2003-03-19 00:00:00","I","2018-08-31 23:59:59.0","여관업","","","여관업","","","","","","","5","10","","N","","","","","","","","","","","N"
"3040000","3040000-201-1975-00001","19751226","","01","영업/정상","01","영업","","","","","02 4663761","230.76","143150","서울특별시 광진구 군자동 464-7번지 ,8 ","서울특별시 광진구 동일로 296 (군자동,,8)","04994","모텔위드","2019-02-19 18:01:06","U","2019-02-21 02:40:00.0","여관업","206393.795051971    ","450598.775043342    ","여관업","0","0","0","0","0","0","0","18","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1975-00002","19750919","","03","폐업","02","폐업","20030421","","","","02 4675973","52.78","143838","서울특별시 광진구 군자동 468-10번지 ","","","유성장여관","2003-04-21 00:00:00","I","2018-08-31 23:59:59.0","여관업","206640.074441978    ","450592.011699712    ","여관업","","","","","","","2","5","","N","","","","","","","","","","","N"
"3040000","3040000-201-1975-00003","19751227","","03","폐업","02","폐업","20070112","","","","02 4672746","89.35","143838","서울특별시 광진구 군자동 474-33번지 ","","","황실장","2002-02-22 00:00:00","I","2018-08-31 23:59:59.0","여관업","206783.322151534    ","450444.349578064    ","여관업","0","0","0","","0","","2","10","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1976-00001","19760422","","03","폐업","02","폐업","20061229","","","","02 4646273","53.24","143841","서울특별시 광진구 자양동 16-32번지 ","","","금강장여관","2002-02-14 00:00:00","I","2018-08-31 23:59:59.0","여관업","205572.347699585    ","448649.251680257    ","여관업","0","0","0","","0","","3","8","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1976-00002","19760722","","01","영업/정상","01","영업","","","","","02 4658084","88.79","143838","서울특별시 광진구 군자동 471-16번지 ","서울특별시 광진구 능동로35길 37 (군자동)","04996","투모텔","2018-12-18 11:21:51","U","2018-12-20 02:40:00.0","여관업","206732.350570372    ","450545.404232696    ","여관업","0","0","0","0","0","0","3","8","0","N","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1976-00003","19760710","","03","폐업","02","폐업","20030421","","","","02 4523756","304.60","143838","서울특별시 광진구 군자동 478-3번지 ","","","동궁여관","2003-04-21 00:00:00","I","2018-08-31 23:59:59.0","여관업","206861.445367861    ","450515.197344269    ","여관업","","","","","","","5","12","","N","","","","","","","","","","","N"
"3040000","3040000-201-1976-00004","19760525","","03","폐업","02","폐업","20030421","","","","02 4535006","42.57","143892","서울특별시 광진구 중곡동 146-14번지 ","","","신흥여인숙","2003-04-21 00:00:00","I","2018-08-31 23:59:59.0","여인숙업","","","여인숙업","","","","","","","10","","","N","","","","","","","","","","","N"
"3040000","3040000-201-1977-00017","19770131","","03","폐업","02","폐업","20030421","","","","02 4658800","110.86","143914","서울특별시 광진구 화양동 12-58번지 ","","","화성여관","2003-04-21 00:00:00","I","2018-08-31 23:59:59.0","여관업","206180.147459569    ","449150.971803716    ","여관업","","","","","","","5","17","","N","","","","","","","","","","","N"
"3040000","3040000-201-1977-00018","19771026","","03","폐업","02","폐업","20170531","","","","02 4650436","87.14","143915","서울특별시 광진구 화양동 110-17번지 2,3층 ","서울특별시 광진구 능동로19길 54, 2.3층 (화양동)","05009","삼희장여관","2017-05-31 17:47:40","I","2018-08-31 23:59:59.0","여관업","206194.49065368     ","449473.639071044    ","여관업","0","0","0","","0","","4","8","0","Y","0","","","","","","","","","","N"
"3040000","3040000-201-1977-00019","19771224","","03","폐업","02","폐업","20080218","","","","02 4638306","36.85","143916","서울특별시 광진구 화양동 19-36번지 ","","","삼정장여관","2007-08-09 16:21:12","I","2018-08-31 23:59:59.0","여관업","206016.91896912     ","449440.803746835    ","여관업","0","0","0","","0","","2","5","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1977-00020","19770803","","03","폐업","02","폐업","20051024","","","","02 4478719","178.64","143825","서울특별시 광진구 구의동 246-19번지 ","","","수복장","2003-07-07 00:00:00","I","2018-08-31 23:59:59.0","여관업","207349.413333333    ","448291.247333334    ","여관업","","","","","","","2","10","","Y","","","","","","","","","","","N"
"3040000","3040000-201-1977-00021","19770803","","03","폐업","02","폐업","20131203","","","","02 4449233","464.48","143824","서울특별시 광진구 구의동 235-32번지 ","서울특별시 광진구 자양로 188 (구의동)","05031","마리모텔","2009-07-15 15:08:58","I","2018-08-31 23:59:59.0","여관업","207469.0073079      ","449117.498947757    ","여관업","","","","","","","3","12","","Y","","","","","","","","","","","N"
"3040000","3040000-201-1977-00022","19770804","","03","폐업","02","폐업","20111229","","","","02 4995939","164.13","143916","서울특별시 광진구 화양동 17-67번지 ","","","낙원장모텔","2010-09-27 13:03:13","I","2018-08-31 23:59:59.0","여관업","206033.295051512    ","449358.55943254     ","여관업","0","0","0","","0","","11","0","0","N","0","","","","","","","","","","N"
"3040000","3040000-201-1977-00023","19770107","","03","폐업","02","폐업","20080415","","","","02 4679245","55.43","143838","서울특별시 광진구 군자동 474-39번지 ","","","신흥여인숙","2007-03-23 00:00:00","I","2018-08-31 23:59:59.0","여인숙업","206806.85236752     ","450473.851829058    ","여인숙업","","","","","","","12","","","N","","","","","","","","","","","N"
"3040000","3040000-201-1978-00001","19781230","","03","폐업","02","폐업","20190424","","","","02 4669225","142.32","143916","서울특별시 광진구 화양동 19-8번지 ","서울특별시 광진구 광나루로14길 21 (화양동)","05008","그리고모텔","2019-04-24 15:13:45","U","2019-04-26 02:40:00.0","여관업","206000.050486909    ","449435.975736557    ","여관업","0","0","0","0","0","0","4","14","0","Y","0","","","","","0","","","0","0","N"
"3040000","3040000-201-1978-00002","19780117","","01","영업/정상","01","영업","","","","","024611 141","202.45","143916","서울특별시 광진구 화양동 20-28번지 ","서울특별시 광진구 동일로28길 23 (화양동)","05007","리베라","2019-09-17 13:30:07","U","2019-09-19 02:40:00.0","여관업","205947.076748379    ","449370.890070262    ","여관업","0","0","1","3","0","0","4","8","0","Y","0","","","","","0","","","0","0","N"
