연번,도로명주소,상세위치,수량,위도,경도,관리기관,연락처,자료기준일
1,서울특별시 광진구 면목로 131(중곡동),중마초등학교,1,37.56520483,127.08074,광진구청,02-450-7928,2023-02-04
2,서울특별시 광진구 강변역로4길 10(구의동),강변역(동서울터미널),2,37.53535165,127.0934054,광진구청,02-450-7928,2023-02-04
3,서울특별시 광진구 강변역로 50(구의동),강변역(동서울터미널),1,37.53453766,127.0941846,광진구청,02-450-7928,2023-02-04
4,서울특별시 광진구 아차산로 244(자양동),건대입구역,2,37.53973082,127.0702007,광진구청,02-450-7928,2023-02-04
5,서울특별시 광진구 능동로 103(자양동),건대입구역,1,37.54033696,127.07051,광진구청,02-450-7928,2023-02-04
6, 서울특별시 광진구 능동로 92(자양동),건대입구역,1,37.53899994,127.0712168,광진구청,02-450-7928,2023-02-04
7,서울특별시 광진구 천호대로 655(중곡동),아차산역,2,37.55259654,127.0897224,광진구청,02-450-7928,2023-02-04
8,서울특별시 광진구 광장로 45(광장동),광장초등학교,1,37.54699826,127.1023293,광진구청,02-450-7928,2023-02-04
9,서울특별시 광진구 자양로 247(구의동),광진초등학교,1,37.54865217,127.0888423,광진구청,02-450-7928,2023-02-04
10,서울특별시 광진구 자양로 150(구의동),구의초등학교,1,37.54094542,127.0838212,광진구청,02-450-7928,2023-02-04
11,서울특별시 광진구 뚝섬로 552(자양동),동자초등학교,1,37.53430592,127.071275,광진구청,02-450-7928,2023-02-04
12,서울특별시 광진구 뚝섬로 655(자양동),성자초등학교,1,37.53158984,127.0823175,광진구청,02-450-7928,2023-02-04
13,서울특별시 광진구 뚝섬로 657(자양동),성자초등학교,1,37.53161932,127.0826339,광진구청,02-450-7928,2023-02-04
14,서울특별시 광진구 군자로 114(군자동),세종초등학교,1,37.55302432,127.0728765,광진구청,02-450-7928,2023-02-04
15,서울특별시 광진구 뚝섬로 539(자양동),신양초등학교,1,37.53502636,127.070078,광진구청,02-450-7928,2023-02-04
16,서울특별시 광진구 광나루로 588(구의동),양진초등학교,1,37.54268963,127.0938485,광진구청,02-450-7928,2023-02-04
17,서울특별시 광진구 아차산로 325(자양동),자양초등학교,1,37.53784443,127.0790048,광진구청,02-450-7928,2023-02-04
18,서울특별시 광진구 군자로 76(군자동),장안초등학교,1,37.54997351,127.0710582,광진구청,02-450-7928,2023-02-04
19,서울특별시 광진구 능동로 393(중곡동),중광초등학교,1,37.56439475,127.0831723,광진구청,02-450-7928,2023-02-04
20,서울특별시 광진구 능동로 137-1(화양동),화양초등학교,1,37.54319529,127.0719117,광진구청,02-450-7928,2023-02-04
21,서울특별시 광진구 광나루로 553 (구의동),광진초등학교,1,37.544829,127.091121,광진구청,02-450-7928,2023-02-04
22,서울특별시 광진구 자양로 120(자양동),광진구청,1,37.53857377,127.0835786,광진구청,02-450-7928,2023-02-04
23,서울특별시 광진구 자양로 115(자양동),광진구청,1,37.53812817,127.0830522,광진구청,02-450-7928,2023-02-04
24,서울특별시 광진구 용마산로 112(중곡동),대원외고 인근,1,37.56368652,127.0871314,광진구청,02-450-7928,2023-02-04
25,서울특별시 광진구 용마산로 110(중곡동),대원외고 인근,1,37.56338999,127.0872368,광진구청,02-450-7928,2023-02-04
26,서울특별시 광진구 용마산로 128(중곡동),용곡초 인근,1,37.56498243,127.0869231,광진구청,02-450-7928,2023-02-04
27,서울특별시 광진구 용마산로 46(중곡동),용마초 인근,1,37.55777408,127.0880975,광진구청,02-450-7928,2023-02-04
28,서울특별시 광진구 구의강변로 64(구의동),구남초 앞,1,37.53586805,127.0925958,광진구청,02-450-7928,2023-02-04
29,서울특별시 광진구 광나루로 480(구의동),광진소방서 앞,1,37.54482988,127.0827779,광진구청,02-450-7928,2023-02-04
30,서울특별시 광진구 영화사로 111(구의동),동의초교 앞,1,37.55369368,127.0988538,광진구청,02-450-7928,2023-02-04
31,서울특별시 광진구 영화사로 105(구의동),영화유치원 앞,1,37.55405445,127.0977177,광진구청,02-450-7928,2023-02-04
32,서울특별시 광진구 구의강변로 77(구의동),구남초등학교,1,37.53726,127.09312,광진구청,02-450-7928,2023-02-04
33,서울특별시 광진구 뚝섬로 588(자양동),동자초등학교,1,37.5333,127.07546,광진구청,02-450-7928,2023-02-04
34,서울특별시 광진구 용마산로 163 (중곡동),용곡초 인근,1,37.568252,127.085871,광진구청,02-450-7928,2023-02-04
35,서울특별시 광진구 아차산로 370(자양동),자양사거리,4,37.53652,127.08377,광진구청,02-450-7928,2023-02-04
36,서울특별시 광진구 광나루로 619(광장동),올림픽대교북단 사거리,4,37.54112,127.0963,광진구청,02-450-7928,2023-02-04
37,서울특별시 광진구 천호대로 553(중곡동),군자역 사거리,2,37.55722,127.07982,광진구청,02-450-7928,2023-02-04
38,서울특별시 광진구 능동로 420(중곡동),중곡역 사거리,2,37.56631,127.08457,광진구청,02-450-7928,2023-02-04
39,서울특별시 광진구 구의강변로 77(구의동),구남초(일동후디스),2,37.53726,127.09302,광진구청,02-450-7928,2023-02-04
40,서울특별시 광진구 동일로 322(중곡동),군자교 사거리,2,37.55949,127.07406,광진구청,02-450-7928,2023-02-04
41,서울특별시 광진구 아차산로 540(구의동),삼성아파트 삼거리,2,37.54014,127.09435,광진구청,02-450-7928,2023-02-04
42,서울특별시 광진구 능동로 209(군자동),어린이대공원 정문 앞,1,37.54927,127.07535,광진구청,02-450-7928,2023-02-04
43,서울특별시 광진구 자양로 128(구의동),구의사거리,4,37.53908,127.08331,광진구청,02-450-7928,2023-02-04
44,서울특별시 광진구 워커힐로 3(광장동),청구이화유치원 사거리,1,37.54279,127.0942,광진구청,02-450-7928,2023-02-04
45,서울특별시 광진구 긴고랑로 115(중곡동),중곡사거리,4,37.55934,127.08769,광진구청,02-450-7928,2023-02-04
46,서울특별시 광진구 용마산로 142(중곡동),용마맨션 앞,1,37.56633,127.08647,광진구청,02-450-7928,2023-02-04
47,서울특별시 광진구 긴고랑로 90(중곡동),노루페인트 앞,1,37.5605,127.08548,광진구청,02-450-7928,2023-02-04
48,서울특별시 광진구 자양동 550-2 (자양동),신양초등학교 사거리,1,37.534953,127.068253,광진구청,02-450-7928,2023-02-04
49,서울특별시 광진구 긴고랑로 32(중곡동),중곡1동사거리,4,37.563149,127.079792,광진구청,02-450-7928,2023-02-04
50,서울특별시 광진구 뚝섬로 632(자양동),국민은행 자양동지점,4,37.531974,127.07968,광진구청,02-450-7928,2023-02-04
51,서울특별시 광진구 자양로 167(자양동),광진경찰서,1,37.543104,127.083715,광진구청,02-450-7928,2023-02-04
52,서울특별시 광진구 아차산로 342(자양동),서문도장,1,37.537172,127.080517,광진구청,02-450-7928,2023-02-04
53,서울특별시 광진구 뚝섬로569(자양동),우성1차아파트,1,37.534374,127.074575,광진구청,02-450-7928,2023-02-04
54,서울특별시 광진구 군자로 70(군자동),온아치과의원,1,37.549569,127.070941,광진구청,02-450-7928,2023-02-04
55,서울특별시 광진구 아차산로58길 77(구의동),한양연립,4,37.5347,127.090339,광진구청,02-450-7928,2023-02-04
56,서울특별시 광진구 뚝섬로 741(구의동),새마을금고 구의3동지점,4,37.534625,127.091298,광진구청,02-450-7928,2023-02-04
57,서울특별시 광진구 동일로 260(군자동),조은빌딩,1,37.554514,127.071223,광진구청,02-450-7928,2023-02-04
